case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
aligned,adamw,250,0.290548221665826,0.506919484790054,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,adamw,500,0.09246075073076272,0.5053497304772492,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,adamw,1000,0.008807668326690936,0.4938241440698218,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,adamw,2000,0.00230859351726883,0.48381942900669384,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,adamw,4000,0.0016923115268034131,0.48240896891579754,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,adamw,8000,0.002274302931695477,0.4794086672000347,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,adamw,250,0.2870882743199971,0.5091937164668396,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,adamw,500,0.09583438615995384,0.5033682830368074,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,adamw,1000,0.009356505860530464,0.49372776293644793,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,adamw,2000,0.0016601003991728934,0.48640469756671045,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,adamw,4000,0.0021471770196981915,0.487773088153026,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,adamw,8000,0.0015559359675666373,0.4831290051322209,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,adamw,250,0.29794817834088494,0.5062017585886496,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,adamw,500,0.09166035571295894,0.5022388722228819,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,adamw,1000,0.008637330417223775,0.48895643882057327,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,adamw,2000,0.001909203966087652,0.48337849747915806,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,adamw,4000,0.0019483333656246087,0.48746657473994914,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,adamw,8000,0.0019783355373369053,0.48255827680367236,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,adamw,250,0.2783337952105551,0.5071044139673948,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,adamw,500,0.092225397009252,0.5087396839497373,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,adamw,1000,0.0085955034026329,0.4841474285282784,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,adamw,2000,0.0023105151830384303,0.4923207228959434,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,adamw,4000,0.002386884214972098,0.48466195512898047,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,adamw,8000,0.0021469068649331868,0.486162044604865,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,adamw,250,0.2923422113648467,0.508454814471234,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,adamw,500,0.09131639239147812,0.5069646549064899,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,adamw,1000,0.008475334462748039,0.4904461814043044,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,adamw,2000,0.002738748972754841,0.48386687425787533,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,adamw,4000,0.0015172452531553716,0.48636491994179953,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,adamw,8000,0.0025462166096769695,0.4838623470675245,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
