case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
aligned,rmsprop,250,1.8147058981888133,0.5066364876075189,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,rmsprop,500,1.2884040600086082,0.5057014764766357,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,rmsprop,1000,0.6676486363004716,0.5090726110032489,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,rmsprop,2000,0.28043356937366987,0.5047870598459161,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,rmsprop,4000,0.08455099464466317,0.49702008286526167,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,rmsprop,8000,0.006176887273089555,0.47988908745287184,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,rmsprop,250,1.8197845961565373,0.5057294756256154,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,rmsprop,500,1.2823192621954813,0.49906015023413064,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,rmsprop,1000,0.6723600286432398,0.5055128324050899,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,rmsprop,2000,0.2829951790530079,0.5137667956552342,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,rmsprop,4000,0.08556737813703377,0.500820288780915,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,rmsprop,8000,0.006291848898220863,0.4845076420796588,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,rmsprop,250,1.8306713294831998,0.5107781696683571,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,rmsprop,500,1.2987289909359774,0.5007187727995361,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,rmsprop,1000,0.6717609473992304,0.5038563195182282,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,rmsprop,2000,0.2851947988753571,0.5088006375972023,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,rmsprop,4000,0.08553880275679697,0.5062931388455578,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,rmsprop,8000,0.00617067993441571,0.4848547519450924,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,rmsprop,250,1.8099229296118495,0.5018703772653226,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,rmsprop,500,1.302902446090225,0.5027177243096139,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,rmsprop,1000,0.6827344950417357,0.5051224167402475,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,rmsprop,2000,0.28165111622159744,0.5097321717796153,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,rmsprop,4000,0.08542361359323895,0.5002896659719402,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,rmsprop,8000,0.00628764327898031,0.4825266786619772,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,rmsprop,250,1.8175141663823204,0.5052792066722693,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,rmsprop,500,1.3032233806768265,0.5054996998244736,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,rmsprop,1000,0.6815112828646623,0.5089646090303526,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,rmsprop,2000,0.2835521134007406,0.5160104356032912,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,rmsprop,4000,0.0847562251077104,0.5048598488800189,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,rmsprop,8000,0.006158840892044655,0.4861807223458239,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
