case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
aligned,sgd,250,0.599034067872959,0.0,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,sgd,500,0.4607385712501893,0.0,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,sgd,1000,0.3462718756066609,0.0,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,sgd,2000,0.252995643100722,0.0,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,sgd,4000,0.18163520625136914,0.0,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,sgd,8000,0.11549935072522013,0.0,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,sgd,250,0.5945457796327966,0.0,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,sgd,500,0.4610481834553618,0.0,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,sgd,1000,0.3461967885944607,0.0,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,sgd,2000,0.25300312205147435,0.0,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,sgd,4000,0.17941599428583024,0.0,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,sgd,8000,0.11669147771197608,0.0,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,sgd,250,0.6049623371306732,0.0,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,sgd,500,0.46226936142960556,0.0,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,sgd,1000,0.3514104489950489,0.0,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,sgd,2000,0.25534242065361323,0.0,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,sgd,4000,0.17903493094619452,0.0,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,sgd,8000,0.11615227285576647,0.0,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,sgd,250,0.5789395510113535,0.0,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,sgd,500,0.4489218680675945,0.0,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,sgd,1000,0.3464454823746217,0.0,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,sgd,2000,0.2546174269839328,0.0,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,sgd,4000,0.17742782179309052,0.0,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,sgd,8000,0.1166747924533435,0.0,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,sgd,250,0.5906758365258206,0.0,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,sgd,500,0.4535916158945417,0.0,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,sgd,1000,0.3444153100339411,0.0,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,sgd,2000,0.2518626196006935,0.0,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,sgd,4000,0.17615102671774627,0.0,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,sgd,8000,0.11562107106143082,0.0,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
