case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
aligned,spectral_oracle,250,1.5354108140043177,0.5,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,spectral_oracle,500,1.0195294289219725,0.5,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,spectral_oracle,1000,0.643289932702728,0.5,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,spectral_oracle,2000,0.3877116495330696,0.5,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,spectral_oracle,4000,0.21570469715349488,0.5,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,spectral_oracle,8000,0.1030663630637946,0.5,1.4999999999999987,11585.237502960394,0,1.5,1.4,512
aligned,spectral_oracle,250,1.5632395712014642,0.5,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,spectral_oracle,500,1.0215047626128932,0.5,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,spectral_oracle,1000,0.6553036488716175,0.5,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,spectral_oracle,2000,0.39340282266994997,0.5,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,spectral_oracle,4000,0.21777287400053208,0.5,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,spectral_oracle,8000,0.10496997418712388,0.5,1.4999999999999987,11585.237502960394,1,1.5,1.4,512
aligned,spectral_oracle,250,1.5936799062111011,0.5,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,spectral_oracle,500,1.0516641932187067,0.5,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,spectral_oracle,1000,0.6604332705008573,0.5,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,spectral_oracle,2000,0.3955834511582691,0.5,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,spectral_oracle,4000,0.21756117229503447,0.5,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,spectral_oracle,8000,0.10396228108527139,0.5,1.4999999999999987,11585.237502960394,2,1.5,1.4,512
aligned,spectral_oracle,250,1.500620700478537,0.5,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,spectral_oracle,500,1.0231678794769725,0.5,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,spectral_oracle,1000,0.658250262464596,0.5,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,spectral_oracle,2000,0.39140483809466337,0.5,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,spectral_oracle,4000,0.21634527855960722,0.5,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,spectral_oracle,8000,0.10389881535018486,0.5,1.4999999999999987,11585.237502960394,3,1.5,1.4,512
aligned,spectral_oracle,250,1.5225911619492267,0.5,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,spectral_oracle,500,1.0272968571009846,0.5,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,spectral_oracle,1000,0.6573222898510755,0.5,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,spectral_oracle,2000,0.3918453477614024,0.5,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,spectral_oracle,4000,0.21572254921316125,0.5,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
aligned,spectral_oracle,8000,0.1030344332669551,0.5,1.4999999999999987,11585.237502960394,4,1.5,1.4,512
