case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
band,adam,250,0.6808144664050448,0.5016672288900643,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adam,500,0.28694973656889156,0.5059173453430672,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adam,1000,0.08179477169601554,0.502128245087595,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adam,2000,0.005036243446486576,0.4795395786174902,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adam,4000,0.0013113624352366943,0.4764387774549498,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adam,8000,0.0008897819584681898,0.4827470825849257,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adam,250,0.7185711365233285,0.5007484101364059,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adam,500,0.31207340164336883,0.5062455021478725,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adam,1000,0.08245522797031148,0.501863683925956,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adam,2000,0.005723173651680484,0.4809743069307125,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adam,4000,0.0009127688893293263,0.4766918846234016,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adam,8000,0.0010179987112292573,0.4905166175899843,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adam,250,0.6814317909200306,0.5015583819287395,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adam,500,0.2916012627924009,0.5089970941503823,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adam,1000,0.0804217296568007,0.5018457582691904,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adam,2000,0.005165619976787449,0.48576259287470613,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adam,4000,0.0010237066694293204,0.4817450651338002,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adam,8000,0.0011645828395477774,0.4798102449483085,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adam,250,0.7107922247313586,0.5060383159279618,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adam,500,0.2989240925475142,0.507076331410347,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adam,1000,0.08323889687151509,0.49808685041066825,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adam,2000,0.005397823464814343,0.4840644508012848,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adam,4000,0.000844524412677132,0.47958574872092086,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adam,8000,0.0009279751161616906,0.48159227779609826,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adam,250,0.6794564385167096,0.5081867108475264,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
band,adam,500,0.2937557527973518,0.5045913317233406,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
band,adam,1000,0.08101541304707606,0.5007386650158383,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
band,adam,2000,0.005569655480445153,0.48441488393148346,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
band,adam,4000,0.0009097792004165764,0.4834544678582945,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
band,adam,8000,0.0009500514262103732,0.4814489662110074,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
