case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
band,adamw,250,0.3038464171950016,0.5040525515482424,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adamw,500,0.10273354380806149,0.5039861580742213,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adamw,1000,0.009960314965318205,0.48893878620055065,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adamw,2000,0.0019124806696824749,0.4834822219790754,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adamw,4000,0.0023315807217326977,0.4792658442773583,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adamw,8000,0.0018814716842895842,0.4855226524720697,1.4999999999999987,8825.788548850325,0,1.5,1.4,512
band,adamw,250,0.3293444308102306,0.5023608223754967,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adamw,500,0.10625447111115106,0.5051467070829634,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adamw,1000,0.011460867794707933,0.49387255739794533,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adamw,2000,0.0023400802358033226,0.4820717119548503,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adamw,4000,0.0018584767914903095,0.4795065534737767,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adamw,8000,0.002138798500673429,0.49198229796876713,1.4999999999999987,8743.133267106792,1,1.5,1.4,512
band,adamw,250,0.3182736769347152,0.5028999723771408,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adamw,500,0.1039559325911586,0.5096813781038543,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adamw,1000,0.010285786138872568,0.48995251347626023,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adamw,2000,0.0019671187993698866,0.48280339526021765,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adamw,4000,0.002563725020929068,0.4837474490776851,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adamw,8000,0.0019376341615899794,0.48231825989089894,1.4999999999999987,8872.143360150132,2,1.5,1.4,512
band,adamw,250,0.32675485693544803,0.508056626162398,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adamw,500,0.10227540320297145,0.5040518774228264,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adamw,1000,0.01159342804699789,0.48778732923664847,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adamw,2000,0.0018898995579018432,0.4850361665380535,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adamw,4000,0.001839587925141553,0.4822830325830264,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adamw,8000,0.0018085423547188379,0.4827724767585556,1.4999999999999987,8739.639149647133,3,1.5,1.4,512
band,adamw,250,0.31686364538279155,0.5069546884941258,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
band,adamw,500,0.10225537440013817,0.5049494666088936,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
band,adamw,1000,0.011244196012430561,0.4870065496867585,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
band,adamw,2000,0.002540888540546927,0.48305797027349173,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
band,adamw,4000,0.0017370626468430073,0.487134415383104,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
band,adamw,8000,0.001970995558043993,0.48340023630413076,1.4999999999999987,8764.967959532794,4,1.5,1.4,512
