case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
flat,adamw,250,0.2884866438314821,0.00012935852611661858,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,adamw,500,0.188675788704424,0.0001695969582636847,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,adamw,1000,0.11701750347778114,2.7063315672815058e-05,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,adamw,2000,0.048550509670309924,8.122141477606704e-06,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,adamw,4000,0.01216191037448404,5.836371608081148e-05,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,adamw,8000,0.002546195469022902,-7.373044186964606e-06,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,adamw,250,0.3565815457648909,6.483231909359954e-05,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,adamw,500,0.19767324672985603,9.448872127004737e-05,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,adamw,1000,0.11128924140373021,4.922531594286905e-05,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,adamw,2000,0.050499160260750034,8.968455116209473e-05,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,adamw,4000,0.0166260165175393,0.00015171232251465216,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,adamw,8000,0.0059312478380513685,8.039092968969985e-05,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,adamw,250,0.30109111450395065,0.00012141965392453713,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,adamw,500,0.19081146137929464,2.8502335208901997e-05,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,adamw,1000,0.11050511829679896,7.404245295561385e-05,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,adamw,2000,0.05467888217077764,0.00017099254077823645,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,adamw,4000,0.014173229453712702,5.692395006595685e-05,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,adamw,8000,0.007043616879795631,8.483364928257853e-05,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,adamw,250,0.29698541468500256,7.353569108270452e-05,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,adamw,500,0.19428471359674668,0.00013617160562950925,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,adamw,1000,0.10996920695162736,5.486937033472028e-05,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,adamw,2000,0.057005434544421085,-4.071747247591517e-06,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,adamw,4000,0.0196856854715683,0.0001269195898808695,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,adamw,8000,0.004648109942819139,5.92803999532876e-05,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,adamw,250,0.30922540352351335,-9.477033948934732e-06,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,adamw,500,0.1995466558344854,6.401760427066083e-05,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,adamw,1000,0.11242103752976504,0.00015442590692049674,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,adamw,2000,0.04943108302033544,4.5946050676648476e-05,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,adamw,4000,0.014689719683189205,5.010270191174726e-05,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,adamw,8000,0.0059413819953824205,9.264213264525978e-06,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
