case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
flat,rmsprop,250,0.20734295046474718,-7.249886653903914e-06,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,rmsprop,500,0.17473598663641082,0.00014716115614288316,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,rmsprop,1000,0.11390002514026043,2.5572311762922517e-05,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,rmsprop,2000,0.22726903661417103,3.556991849162916e-05,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,rmsprop,4000,0.013612852166464637,3.491216551709808e-05,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,rmsprop,8000,0.01820272607026318,2.2930038694912724e-05,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,rmsprop,250,0.24182354686938157,1.5326794727932302e-05,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,rmsprop,500,0.17342741094358904,8.46503724858394e-05,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,rmsprop,1000,0.08494452199919328,6.159495847113394e-05,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,rmsprop,2000,0.04439345313427581,6.392298230706306e-05,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,rmsprop,4000,0.08881653952445087,3.4587285647758037e-06,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,rmsprop,8000,0.004998693898227507,1.8022245258486613e-05,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,rmsprop,250,0.5038642446873527,0.00016901959835857738,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,rmsprop,500,0.1590592071506216,3.343285169765675e-05,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,rmsprop,1000,0.08947745632185605,8.103606897691407e-05,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,rmsprop,2000,0.08277010102721291,6.303028144483136e-05,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,rmsprop,4000,0.016037975469512383,7.716366203869285e-05,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,rmsprop,8000,0.011716836259173006,5.101878747038047e-05,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,rmsprop,250,0.2198800587326675,8.38776749073622e-05,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,rmsprop,500,0.3822084270735858,5.283087493823668e-05,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,rmsprop,1000,0.45655095459820066,1.3942141559031285e-05,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,rmsprop,2000,0.038920348910228164,9.261256666226458e-05,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,rmsprop,4000,0.014080249383761345,5.456248259783081e-05,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,rmsprop,8000,0.007186188633971032,5.765749186104063e-05,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,rmsprop,250,0.2075482047024544,-4.370184360413809e-05,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,rmsprop,500,0.24079349337063066,3.587495695167586e-05,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,rmsprop,1000,0.07725986923745455,8.496824900083855e-05,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,rmsprop,2000,0.06286929461776654,0.0001810594612510208,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,rmsprop,4000,0.01650500889876816,4.310816608510404e-05,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,rmsprop,8000,0.006690200395723637,-5.675903659740911e-06,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
