case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
flat,sgd,250,0.7583306613922054,0.0,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,sgd,500,0.591177740494921,0.0,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,sgd,1000,0.4564408216273261,0.0,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,sgd,2000,0.3452489374727432,0.0,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,sgd,4000,0.2542096427058107,0.0,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,sgd,8000,0.1769121169185252,0.0,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,sgd,250,0.7503198369238672,0.0,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,sgd,500,0.5922124237893447,0.0,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,sgd,1000,0.458196211062643,0.0,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,sgd,2000,0.3447469545790197,0.0,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,sgd,4000,0.25429849280580147,0.0,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,sgd,8000,0.17804967789938186,0.0,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,sgd,250,0.7694989134721375,0.0,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,sgd,500,0.5979157828027367,0.0,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,sgd,1000,0.46231611991283883,0.0,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,sgd,2000,0.34746171234047396,0.0,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,sgd,4000,0.2531416690952661,0.0,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,sgd,8000,0.1774246671412053,0.0,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,sgd,250,0.7377978235477192,0.0,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,sgd,500,0.5801913730316606,0.0,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,sgd,1000,0.45667562593014566,0.0,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,sgd,2000,0.3445551698334435,0.0,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,sgd,4000,0.2521716247106097,0.0,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,sgd,8000,0.1774374209538159,0.0,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,sgd,250,0.7575106021825857,0.0,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,sgd,500,0.5911827752640735,0.0,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,sgd,1000,0.4563347627126811,0.0,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,sgd,2000,0.3442984420226256,0.0,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,sgd,4000,0.25184576158498495,0.0,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,sgd,8000,0.17644909752353455,0.0,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
