case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
haar,adam,250,0.8811434431471572,-0.028132779124294904,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,adam,500,0.6195738645562381,-0.018284532648066065,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,adam,1000,0.42550644312085983,-0.01902139582410034,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,adam,2000,0.2837700836499487,-0.018343610719379733,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,adam,4000,0.17671321079284488,-0.02012067839910281,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,adam,8000,0.09928394602074364,-0.01841949152367972,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,adam,250,0.8724017470091622,-0.028340105775153335,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,adam,500,0.6193921766229806,-0.017603499810772805,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,adam,1000,0.42306926102578435,-0.018717208873425983,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,adam,2000,0.27856383645649585,-0.018524486748393132,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,adam,4000,0.17558664318598066,-0.018909599270515498,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,adam,8000,0.09686768816460253,-0.016134477328849206,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,adam,250,0.899340232106059,-0.02475450998677009,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,adam,500,0.6241567195906207,-0.01859362028549638,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,adam,1000,0.430880574523556,-0.02050990875686609,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,adam,2000,0.284501686280485,-0.0208478962073515,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,adam,4000,0.1785193255487565,-0.018739772486480177,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,adam,8000,0.09871206394263263,-0.019803230569380492,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,adam,250,0.8863619992916295,-0.027609806699484762,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,adam,500,0.6196731437737296,-0.01771878750824807,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,adam,1000,0.42858589081479104,-0.017803209643965312,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,adam,2000,0.28221414489377755,-0.017488817848938742,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,adam,4000,0.17579547794559325,-0.018314477412984198,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,adam,8000,0.09328413647091191,-0.022092298182530445,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,adam,250,0.892763425697811,-0.030500661691496678,1.500000000000001,21.4696184256474,4,1.5,1.4,512
haar,adam,500,0.6370306902241301,-0.019847627902641385,1.500000000000001,21.4696184256474,4,1.5,1.4,512
haar,adam,1000,0.42728169766158186,-0.018804537958837075,1.500000000000001,21.4696184256474,4,1.5,1.4,512
haar,adam,2000,0.2810880669961539,-0.0190170153828626,1.500000000000001,21.4696184256474,4,1.5,1.4,512
haar,adam,4000,0.173585957574497,-0.020248658671906394,1.500000000000001,21.4696184256474,4,1.5,1.4,512
haar,adam,8000,0.09567904229917487,-0.02013017107052062,1.500000000000001,21.4696184256474,4,1.5,1.4,512
