case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
haar,coord_oracle,250,0.39045284794554835,-0.018222321751800274,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,coord_oracle,500,0.2862380358506673,-0.018222321751800274,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,coord_oracle,1000,0.20681826949535953,-0.018222321751800274,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,coord_oracle,2000,0.13953347343065287,-0.018222321751800274,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,coord_oracle,4000,0.0860761559829538,-0.018222321751800274,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,coord_oracle,8000,0.04641885413445723,-0.018222321751800274,1.4999999999999996,17.813386463390707,0,1.5,1.4,512
haar,coord_oracle,250,0.3885050072182544,-0.017002680580154417,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,coord_oracle,500,0.28659816393528253,-0.017002680580154417,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,coord_oracle,1000,0.2053327335540603,-0.017002680580154417,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,coord_oracle,2000,0.13915996372909528,-0.017002680580154417,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,coord_oracle,4000,0.09154426130051854,-0.017002680580154417,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,coord_oracle,8000,0.04678376247200447,-0.017002680580154417,1.4999999999999991,16.462244058909047,1,1.5,1.4,512
haar,coord_oracle,250,0.39459362958996075,-0.01778212123142575,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,coord_oracle,500,0.28708521730678693,-0.01778212123142575,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,coord_oracle,1000,0.20540441560185232,-0.01778212123142575,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,coord_oracle,2000,0.14580217299222692,-0.01778212123142575,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,coord_oracle,4000,0.08913791503520946,-0.01778212123142575,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,coord_oracle,8000,0.04678446805929394,-0.01778212123142575,1.4999999999999982,21.974530718200988,2,1.5,1.4,512
haar,coord_oracle,250,0.38359482340792705,-0.01700221018515391,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,coord_oracle,500,0.28691250300545224,-0.01700221018515391,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,coord_oracle,1000,0.2011287764404789,-0.01700221018515391,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,coord_oracle,2000,0.14026239116901068,-0.01700221018515391,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,coord_oracle,4000,0.08469332277636608,-0.01700221018515391,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,coord_oracle,8000,0.04394109504808158,-0.01700221018515391,1.4999999999999998,17.955197249695942,3,1.5,1.4,512
haar,coord_oracle,250,0.38900933756247363,-0.01879223202125435,1.500000000000001,21.4696184256474,4,1.5,1.4,512
haar,coord_oracle,500,0.2829851017112297,-0.01879223202125435,1.500000000000001,21.4696184256474,4,1.5,1.4,512
haar,coord_oracle,1000,0.20531904093734046,-0.01879223202125435,1.500000000000001,21.4696184256474,4,1.5,1.4,512
haar,coord_oracle,2000,0.13822964370038004,-0.01879223202125435,1.500000000000001,21.4696184256474,4,1.5,1.4,512
haar,coord_oracle,4000,0.08619478531061925,-0.01879223202125435,1.500000000000001,21.4696184256474,4,1.5,1.4,512
haar,coord_oracle,8000,0.046445485241047704,-0.01879223202125435,1.500000000000001,21.4696184256474,4,1.5,1.4,512
