step,excess_risk,trial,theta,lr,a,b,dimension,q_eff_pred
250,1.841231478637549,0,0.0,0.003,1.5,1.4,512,0.0
500,1.478921781554569,0,0.0,0.003,1.5,1.4,512,0.0
1000,1.1928528225506014,0,0.0,0.003,1.5,1.4,512,0.0
250,1.2798081897739249,0,0.0,0.01,1.5,1.4,512,0.0
500,1.0331706525727355,0,0.0,0.01,1.5,1.4,512,0.0
1000,0.8112329867797181,0,0.0,0.01,1.5,1.4,512,0.0
250,1.6987873906766837,0,0.5,0.003,1.5,1.4,512,0.25
500,1.2932448851255531,0,0.5,0.003,1.5,1.4,512,0.25
1000,0.97120069433503,0,0.5,0.003,1.5,1.4,512,0.25
250,1.0376471233171651,0,0.5,0.01,1.5,1.4,512,0.25
500,0.7694638000751167,0,0.5,0.01,1.5,1.4,512,0.25
1000,0.5580857837948222,0,0.5,0.01,1.5,1.4,512,0.25
250,1.5462787554016024,0,1.0,0.003,1.5,1.4,512,0.5
500,1.0404836319060702,0,1.0,0.003,1.5,1.4,512,0.5
1000,0.6633741244922615,0,1.0,0.003,1.5,1.4,512,0.5
250,0.7135302548381653,0,1.0,0.01,1.5,1.4,512,0.5
500,0.44219776757312157,0,1.0,0.01,1.5,1.4,512,0.5
1000,0.25127415947364323,0,1.0,0.01,1.5,1.4,512,0.5
250,1.8636761047683004,1,0.0,0.003,1.5,1.4,512,0.0
500,1.4862760380635918,1,0.0,0.003,1.5,1.4,512,0.0
1000,1.197583008503931,1,0.0,0.003,1.5,1.4,512,0.0
250,1.2827270443713024,1,0.0,0.01,1.5,1.4,512,0.0
500,1.0245434848203931,1,0.0,0.01,1.5,1.4,512,0.0
1000,0.8093390325710023,1,0.0,0.01,1.5,1.4,512,0.0
250,1.7232700396282152,1,0.5,0.003,1.5,1.4,512,0.25
500,1.3045662825148956,1,0.5,0.003,1.5,1.4,512,0.25
1000,0.9708311449372948,1,0.5,0.003,1.5,1.4,512,0.25
250,1.0538800722668697,1,0.5,0.01,1.5,1.4,512,0.25
500,0.7776820256666953,1,0.5,0.01,1.5,1.4,512,0.25
1000,0.5723219409672046,1,0.5,0.01,1.5,1.4,512,0.25
250,1.537108876370727,1,1.0,0.003,1.5,1.4,512,0.5
500,1.0104352234917309,1,1.0,0.003,1.5,1.4,512,0.5
1000,0.634189361015017,1,1.0,0.003,1.5,1.4,512,0.5
250,0.7629891262806278,1,1.0,0.01,1.5,1.4,512,0.5
500,0.4624347100267538,1,1.0,0.01,1.5,1.4,512,0.5
1000,0.26368616610733847,1,1.0,0.01,1.5,1.4,512,0.5
